track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_year,duration_min,genres,record_label,danceability,energy,key_name,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id_1,artist_id,artist_name,artist_followers,artist_popularity
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers,Halsey",83,Closer,2016,4.08,Pop,Disruptor Records/Columbia,74.8,52.4,G#,-5.599,Major,3.38,41.4,0.0,11.1,66.1,95,4,7BKLCZ1jbUBVqRi2FVlTVw,"[69GGBxA162lTqCwzJG5jLp,26VFTg2z8YR0cCuwLzESi2]","[The Chainsmokers,Halsey]","[20608619,21764822]","[83,84]"
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers,Coldplay",86,Memories...Do Not Open,2017,4.12,Pop,Disruptor Records/Columbia,61.7,63.5,B,-6.769,Minor,3.17,4.98,0.0,16.4,44.6,103,4,6RUKPb4LETWmmr3iAEQktW,"[69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU]","[The Chainsmokers,Coldplay]","[20608619,54614771]","[83,92]"
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,82,Fine Line,2019,2.9,Pop,Columbia,54.8,81.6,C,-4.209,Major,4.65,12.2,0.0,33.5,55.7,95,4,6UelLqGlWMcVH1E5c4H7lY,[6KImCVD70vtIoJWnq6nGn3],[Harry Styles],[33097935],[85]
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,87,Harry's House,2022,2.79,Pop,Columbia,52.0,73.1,F#,-5.338,Minor,5.57,34.2,0.1,31.1,66.2,174,4,4Dvkj6JhhA12EX05fT7y2e,[6KImCVD70vtIoJWnq6nGn3],[Harry Styles],[33097935],[85]
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,81,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,3.23,Pop,Darkroom/Interscope Records,70.1,42.5,G,-10.965,Major,37.5,32.8,13.0,10.0,56.2,135,4,2Fxmhks0bxGSBdJ92vM42m,[6qqNVTkY8uBg9cP3Jd7DAH],[Billie Eilish],[102057941],[96]
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,84,Illuminate (Deluxe),2017,3.32,Pop,Island Records,86.6,81.1,B,-4.063,Minor,5.53,37.5,0.0,7.8,96.9,122,4,7JJmb5XwzOO8jgpou264Ml,[7n2wHs1TKAczGzO7Dd2rGr],[Shawn Mendes],[43635681],[85]
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Shawn Mendes,83,Illuminate,2017,3.13,Pop,Island Records,44.3,82.0,A#,-4.091,Minor,34.0,10.7,0.0,10.7,77.1,83,4,3QGsuHI8jO1Rx4JWLUh9jd,[7n2wHs1TKAczGzO7Dd2rGr],[Shawn Mendes],[43635681],[85]
6v3KW9xbzN5yKLt9YKDYA2,Señorita,"Shawn Mendes,Camila Cabello",78,Shawn Mendes (Deluxe),2019,3.18,Pop,Island Records,75.9,54.8,A,-6.049,Minor,2.89,3.79,0.0,8.28,75.0,117,4,6v3KW9xbzN5yKLt9YKDYA2,"[7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF]","[Shawn Mendes,Camila Cabello]","[43635681,34041015]","[85,82]"
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,86,Birds In The Trap Sing McKnight,2016,4.06,Rap,Cactus Jack / Epic,84.1,72.8,G,-3.37,Major,4.84,8.47,0.0,14.9,43.0,130,4,6gBFPUFcJLzWGx4lenP6h2,[0Y5tJX1MQlPlqiwlOH1tJY],[Travis Scott],[34370782],[94]
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,81,ASTROWORLD,2018,5.21,Rap,Cactus Jack / Epic,83.4,73.0,G#,-3.714,Major,22.2,0.51,0.0,12.4,44.6,155,4,2xLMifQCjDGFmkHkpNLD9h,[0Y5tJX1MQlPlqiwlOH1tJY],[Travis Scott],[34370782],[94]
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,79,17,2017,1.99,Rap,Bad Vibes Forever / EMPIRE,87.2,39.1,C,-9.144,Minor,24.2,46.9,0.0,29.7,43.7,134,4,7m9OqQk4RVRkw9JJdeAw96,[15UsOTVnJzReFVN1VCnxy4],[XXXTENTACION],[47443541],[89]
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,78,?,2018,2.78,Rap,"Bad Vibes Forever, LLC",74.0,61.3,G#,-4.88,Major,14.5,25.8,0.37,12.3,47.3,75,4,3ee8Jmje8o58CHK66QrVC2,[15UsOTVnJzReFVN1VCnxy4],[XXXTENTACION],[47443541],[89]
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,84,Hollywood's Bleeding,2019,3.59,Rap,Republic Records,69.5,76.3,C,-3.497,Major,3.96,18.9,0.24,8.63,55.1,120,4,21jGcNKet2qwijlDFuPiPb,[246dkjvS1zLTtiykXe5h60],[Post Malone],[45762679],[91]
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,"Post Malone,Quavo",78,Stoney (Deluxe),2016,3.67,Rap,Universal Records,63.0,80.4,F#,-4.183,Major,3.64,21.5,0.0,25.3,49.2,123,4,3a1lNhkSLSkpJE4MSHpDu9,"[246dkjvS1zLTtiykXe5h60,0VRj0yCOv2FXJNP47XQnx5]","[Post Malone,Quavo]","[45762679,7594116]","[91,81]"
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"Post Malone,21 Savage",80,beerbongs & bentleys,2018,3.64,Rap,Republic Records,58.5,52.0,F,-6.136,Minor,7.13,12.4,0.01,13.1,12.9,160,4,0e7ipj03S05BNilyu5bRzt,"[246dkjvS1zLTtiykXe5h60,1URnnhqYAYcrqrcwql10ft]","[Post Malone,21 Savage]","[45762679,20586340]","[91,89]"
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone,Swae Lee",79,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018,2.63,Rap,Universal Records,76.0,47.8,D,-5.574,Major,4.67,55.2,0.0,7.03,91.3,90,4,3KkXRkHbMCARz0aVfEt68P,"[246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX]","[Post Malone,Swae Lee]","[45762679,2390139]","[91,81]"
0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner,Seeb",79,"At Night, Alone.",2016,3.3,Rap,"Monster Mountain, LLC / Island",66.4,71.4,G,-6.645,Minor,11.1,3.53,0.0,8.43,71.0,102,4,0vbtURX4qv1l7besfwmnD8,"[2KsP6tYLJlTBvSUxnwlVWa,5iNrZmtVMtYev5M9yoWpEq]","[Mike Posner,Seeb]","[1409839,363358]","[71,68]"
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,83,DAMN.,2017,2.95,Rap,Aftermath,90.8,62.1,C#,-6.638,Minor,10.2,0.03,0.01,9.58,42.1,150,4,7KXjTSCq5nL1LoYtL7XAwS,[2YZyLoL8N0Wb9xBt1NhZWg],[Kendrick Lamar],[34068852],[92]
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",77,The Heist,2012,4.31,Rap,Macklemore,64.1,92.2,D,-4.457,Major,7.86,2.91,0.0,8.62,84.7,146,4,3bidbhpOYeV4knp8AIu8Xn,"[3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,6WLvgbfYXQPO396oJEYCsi,4e0nWw2r4BoQSKPQ2zpU13]","[Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton]","[2447147,48399,12028,86036]","[78,68,64,75]"
6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,81,Scorpion,2018,3.32,Rap,Cash Money/Drake LP6,75.4,44.9,G,-9.211,Major,10.9,3.32,0.01,55.2,35.7,77,4,6DCZcSspjsKoFjzjrWoCdn,[3TVXtAsR1Inumwj472S9r4],[Drake],[93296075],[96]
1zi7xx7UVEFkmKfv06H8x0,One Dance,"Drake,Wizkid,Kyla",85,Views,2016,2.9,Rap,Cash Money Records/Young Money Ent./Universal Rec.,79.2,62.5,C#,-5.609,Major,5.36,0.78,0.18,32.9,37.0,104,4,1zi7xx7UVEFkmKfv06H8x0,"[3TVXtAsR1Inumwj472S9r4,3tVQdUvClmAT7URs9V3rsp,77DAFfvm3O9zT5dIoG0eIO]","[Drake,Wizkid,Kyla]","[93296075,6308288,33994]","[96,80,71]"
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,81,Goodbye & Good Riddance,2018,4.0,Rap,Juice WRLD Mixtape / ISR P&D,51.1,56.6,F#,-7.23,Minor,20.0,34.9,0.0,34.0,21.8,84,4,285pBltuF7vW8TeWk8hdRR,[4MCBfE4596Uoi2O4DtmEMz],[Juice WRLD],[36072486],[89]
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,81,Luv Is Rage 2,2017,3.05,Rap,Generation Now/Atlantic,73.2,75.0,B,-6.366,Minor,23.1,0.26,0.0,10.9,40.1,155,4,7GX5flRQZVHRAGd6B4TmDO,[4O15NlyKLIASxsJ0PrXPfz],[Lil Uzi Vert],[17998128],[88]
