track_id,track_name,track_album_name,track_artist,artist_gender,track_album_release_year,duration_min,track_popularity,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Playlist_year,artist_id,artist_name,artist_followers,artist_popularity
3CtfBYewF9YoIj4tN1Xuh6,Find A Way (feat. Lil Baby),Back of My Mind,"H.E.R.,Lil Baby",N/A,2 021,3.29,37,Rap,MBK Entertainment/RCA Records,59.7,66.3,A,-6.99,Major,43.6,0.73,0.0,7.91,57.7,158,4,2021,"[3Y7RZ31TRPVadSFVy1o8os,5f7VJjfbwm532GiveGC0ZK]","[H.E.R.,Lil Baby]","[7963703,18931364]","[77,87]"
7tpTeZgPPcpGHmKLwQClXt,Everything (... Is Never Quite Enough),Toxu,"Wasis Diop,Beth Hirsch",N/A,1 998,4.53,35,World,Universal Music Division Mercury Records,66.1,61.9,G#,-9.73,Major,3.01,9.43,3.04,9.07,27.1,143,4,2021,"[5WgEnjgCrT1aeQELTV3tdB,7a1nGgiWVcRP4PV6xkXQ96]","[Wasis Diop,Beth Hirsch]","[9914,8648]","[30,51]"
1lRkDJ9hMuiE1GZOlbgkam,Exodus,Exodus,Bob Marley & The Wailers,N/A,1 977,7.67,57,Reggae,Tuff Gong,86.8,74.4,G,-8.57,Major,5.02,3.01,0.5,17.2,96.1,133,4,2021,[2QsynagSdAqZj3U9HgDzjD],[Bob Marley & The Wailers],[12793787],[81]
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Scary Hours 2,"Drake,Lil Baby",N/A,2 021,3.22,73,Hip Hop,OVO,57.8,44.9,C#,-6.35,Major,28.6,6.18,0.0,11.9,10.0,136,4,2021,"[3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK]","[Drake,Lil Baby]","[93296075,18931364]","[96,87]"
4Dq749x2QP6OXTURJ9GGY8,The Tears Of A Clown,Make It Happen,Smokey Robinson & The Miracles,N/A,1 967,3.03,54,Soul/Funk/Motown,UNI/MOTOWN,59.3,60.7,C#,-9.89,Major,2.83,14.7,0.0,12.8,95.3,128,4,2021,[6TKOZZDd5uV5KnyC5G4MUt],[Smokey Robinson & The Miracles],[1223813],[57]
5YLnfy7R2kueN0BRPkjiEG,I'll Take You There,The Very Best Of The Staple Singers,The Staple Singers,N/A,2 007,3.28,63,Soul/Funk/Motown,Stax,84.6,59.5,C,-8.37,Major,4.39,9.04,0.0,6.3,78.0,102,4,2021,[7xGGqA85UIWX1GoTVM4itC],[The Staple Singers],[352007],[53]
7pv80uUHfocFqfTytu1MVi,Didn't Cha Know,Mama's Gun,Erykah Badu,F,2 000,3.98,69,R&B,Motown (Kedar),75.3,47.2,D#,-9.76,Minor,12.1,48.4,1.27,28.4,81.6,135,4,2021,[7IfculRW2WXyzNQ8djX8WX],[Erykah Badu],[3004057],[69]
5I0qCoNe6cOfXajLAzazUN,So Hard,So Hard,Nezi,F,2 021,2.98,2,R&B,NEZI MUSIC,63.2,42.6,E,-11.38,Minor,4.9,30.2,0.0,9.25,23.8,130,4,2021,[09LvpbdDJHTFARXMJ04Rto],[Nezi],[622],[6]
1bWh6WbYzSFxsOKzE4EpUu,Good Days,Good Days,SZA,F,2 020,4.65,52,R&B,Top Dawg Entertainment/RCA Records,47.2,65.5,C#,-8.39,Minor,5.61,48.8,0.0,68.8,41.6,121,4,2021,[7tYKF4w9nC0nq9CsPZTHyP],[SZA],[24229902],[90]
5RPuPEZ0HiXPTnzwqfJMa8,Switch It Up (feat. Koffee),In Search Of Lost Time,"Protoje,Original Koffee",M,2 020,3.92,46,Reggae,In.Digg.Nation Collective/Six Course Music/RCA Records,78.1,83.1,A#,-6.06,Minor,11.1,5.96,0.0,18.7,66.1,140,4,2021,"[7BGR8y1VZAWK2oR4zD9COr,1gWjcmBsveEYMxOZ0VRi32]","[Protoje,Original Koffee]","[424809,741409]","[59,57]"
3XEHn72yyeU5VmCrvqh37n,Allure,The Black Album,JAY-Z,M,2 003,4.85,15,Hip Hop,Roc Nation / Jay-Z,61.7,88.3,A,-3.39,Minor,28.9,21.3,0.0,26.5,37.3,87,4,2021,[3nFkdlSjzX9mRTtwJOzDYB],[JAY-Z],[9547380],[85]
4eSn3WcTUYdM5dYnSf7v8K,Neighbors,4 Your Eyez Only,J. Cole,M,2 016,3.61,32,Hip Hop,J. Cole P&D,89.8,27.6,B,-12.38,Minor,34.0,28.9,0.02,10.7,44.4,139,4,2021,[6l3HvQ5sa6mXTsMTB19rO5],[J. Cole],[24950425],[86]
1yg7fwwYmx9DQ2TdXUmfpJ,Holding Back the Years - 2008 Remaster,Picture Book (Expanded Version),Simply Red,M,1 985,4.5,67,Soul/Funk/Motown,Rhino/Elektra,71.0,51.4,A,-8.89,Minor,2.78,58.0,0.02,9.53,51.7,86,4,2021,[1fa0cOhromAZdq2xRA4vv8],[Simply Red],[2497330],[69]
6Axz5VSkc4Bs8eXWQxnynE,If You Really Love Me,Where I'm Coming From,Stevie Wonder,M,1 971,3.01,48,Soul/Funk/Motown,Motown,56.5,40.4,A,-10.97,Minor,4.48,30.2,0.0,12.5,67.5,124,4,2021,[7guDJrEfX3qb6FEbdPA5qi],[Stevie Wonder],[6661844],[77]
15ouqiBsgL12olEwP3COsH,Águas De Março,Elis & Tom,"Elis Regina,Antônio Carlos Jobim",N/A,1 974,3.57,64,Jazz,Universal Music Ltda.,68.3,51.7,C,-11.86,Minor,23.0,70.0,0.0,10.9,67.3,144,4,2021,"[0yFvXd36g5sNKYDi0Kkvl8,3pO5VjZ4wOHCMBXOvbMISG]","[Elis Regina,Antônio Carlos Jobim]","[1422223,770817]","[63,70]"
4f1KkbXHnfIVZ9vmIExByJ,That's Where I Am,That's Where I Am,Maggie Rogers,F,2 022,4.21,0,Pop,Capitol Records,27.0,76.0,G,-3.74,Major,5.0,13.0,0.0,7.0,15.0,181,4,2022,[4NZvixzsSefsNiIqXn0NDe],[Maggie Rogers],[1166373],[72]
4Csvnz7PR04ttCcDAhUz6o,Bliss,Three Dimensions Deep,Amber Mark,F,2 022,2.9,42,R&B,EMI,77.0,36.0,C,-6.48,Major,4.0,9.0,0.0,12.0,52.0,73,4,2022,[0tbeZu9lv8YEKSQ9tZSslu],[Amber Mark],[430709],[58]
2FYGZDfsAnNsrm1gVbyKnG,SAOKO,MOTOMAMI,ROSALÍA,F,2 022,2.29,63,R&B,Columbia,83.0,77.0,C,-5.7,Major,27.0,79.0,0.0,50.0,73.0,100,4,2022,[7ltDVBr6mKbRvohxheJ9h1],[ROSALÍA],[8375671],[81]
3EwTIu5qka2l5ZekB0b6QC,Angelica,Wet Leg,Wet Leg,F,2 022,3.87,50,Rock,Domino Recording Co,49.0,87.0,C,-5.14,Major,4.0,0.0,0.0,37.0,31.0,132,4,2022,[2TwOrUcYnAlIiKmVQkkoSZ],[Wet Leg],[659579],[58]
6onpcMnD3eVbTq1B5th05E,The Furthest Thing,Humble Quest,Maren Morris,F,2 022,3.91,29,Rock,Columbia Nashville,41.0,38.0,G#,-10.31,Major,4.0,91.0,0.0,17.0,26.0,82,4,2022,[6WY7D3jk8zTrHtmkqqo5GI],[Maren Morris],[833238],[71]
2KukL7UlQ8TdvpaA7bY3ZJ,BREAK MY SOUL,BREAK MY SOUL,Beyoncé,F,2 022,4.64,61,R&B,Parkwood Entertainment/Columbia,69.0,89.0,C#,-5.04,minor,8.0,6.0,0.0,27.0,85.0,115,4,2022,[6vWDO969PvNqNYHIOW5v0m],[Beyoncé],[38943874],[87]
